order_id,order_date,customer,country,channel,sku,units_ordered,order_value_eur,fulfilment_status,fulfilment_date,notes
ORD-2025-04629,2025-10-06,Coop Group,EU,EDI,MG375-FR,1952,19904.56,NOT_FULFILLED,,
ORD-2025-04426,2025-01-25,Boots UK,UK,EDI,BS10-DE,878,6779.87,FULFILLED,2025-01-26,
ORD-2025-05554,2025-05-27,Lidl Europe,EU,EDI,FX60-UK,821,6758.61,FULFILLED,2025-06-01,
ORD-2025-06902,2025-01-21,Mercadona,ES,Manual,CAD400-FR,1479,20500.37,FULFILLED,2025-01-24,
ORD-2025-04754,2025-02-15,Carrefour France,FR,EDI,DP500-FR,836,5626.37,FULFILLED,2025-02-18,
ORD-2025-00149,2025-04-18,E.Leclerc,FR,EDI,AL120-EU,1350,23156.96,FULFILLED,2025-04-21,
ORD-2025-05800,2025-12-19,dm (Drogerie Markt),DE,Manual,DP1000-FR,1136,10016.14,FULFILLED,2025-12-21,
ORD-2025-08372,2025-11-03,Lidl Europe,EU,Fax,DP1000-FR,1308,22748.08,NOT_FULFILLED,,
ORD-2025-03347,2025-11-19,Carrefour France,FR,EDI,MG375-FR,1624,18740.93,FULFILLED,2025-11-21,
ORD-2025-02319,2025-09-19,Coop Group,EU,EDI,AL180-EU,1212,13750.18,NOT_FULFILLED,,
ORD-2025-07971,2025-11-03,Lidl Europe,EU,Email,FX60-UK,1425,15572.87,FULFILLED,2025-11-08,
ORD-2025-03738,2025-05-22,Boots UK,UK,EDI,AL180-EU,495,8654.79,FULFILLED,2025-05-26,
ORD-2025-02740,2025-11-08,Lidl Europe,EU,EDI,MG375-FR,1083,11074.47,FULFILLED,2025-11-10,
ORD-2025-05066,2025-07-11,Mercadona,ES,EDI,DP1000-FR,1123,14873.49,FULFILLED,2025-07-15,
ORD-2025-06754,2025-08-14,Lidl Europe,EU,Manual,DP500-FR,1442,10121.16,FULFILLED,2025-08-17,
ORD-2025-05527,2025-01-13,Coop Group,EU,EDI,CAD400-FR,691,9584.71,FULFILLED,2025-01-16,
ORD-2025-05839,2025-03-31,dm (Drogerie Markt),DE,Manual,AL180-EU,1315,3632.76,FULFILLED,2025-04-05,
ORD-2025-05350,2025-01-08,dm (Drogerie Markt),DE,EDI,DP500-FR,1734,23873.41,FULFILLED,2025-01-13,
ORD-2025-06804,2025-09-01,Coop Group,EU,Manual,FX60-UK,1500,19270.09,FULFILLED,2025-09-05,
